procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 CST
 1  0      0 1748932 107848 4043628    0    0     0  2585 25073 43176 34  9 54  2  0  0 2026-09-09 20:42:09
 0  0      0 1743720 107848 4045072    0    0     0  2323 21276 34860 31  8 59  1  0  0 2026-09-09 20:42:14
 4  1      0 1725928 107848 4046472    0    0     0  1795 21976 35798 23  7 68  1  0  0 2026-09-09 20:42:19
 3  0      0 1736508 107848 4047904    0    0     0  8251 22803 40661 43 12 44  2  0  0 2026-09-09 20:42:24
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 CST
 1  0      0 1741888 107848 4049276    0    0     0  3170 24798 41854 33  9 55  2  0  0 2026-09-09 20:42:29
 4  0      0 1680432 107848 4050808    0    0     0  1650 21554 35917 30  9 61  1  0  0 2026-09-09 20:42:34
 1  0      0 1737188 107848 4052136    0    0     0  1597 21560 34535 24  7 68  1  0  0 2026-09-09 20:42:39
 4  0      0 1726968 107848 4053548    0    0     0  2380 24864 42200 33 10 55  2  0  0 2026-09-09 20:42:44
 2  0      0 1731084 107848 4054968    0    0     0  3709 23573 41923 43 11 44  2  0  0 2026-09-09 20:42:49
 2  0      0 1730172 107848 4056344    0    0     0  1824 21938 35335 22  7 70  1  0  0 2026-09-09 20:42:54
 2  0      0 1726756 107848 4057668    0    0     0  1842 21601 35694 32  8 59  1  0  0 2026-09-09 20:42:59
 2  0      0 1719488 107848 4059036    0    0     0  2355 24402 41111 32  9 57  2  0  0 2026-09-09 20:43:04
 7  0      0 1666680 107848 4060492    0    0     0  2667 23463 42146 42 11 44  2  0  0 2026-09-09 20:43:09
 3  0      0 1725480 107848 4061808    0    0     0  3230 21674 34961 23  7 69  1  0  0 2026-09-09 20:43:14
 7  0      0 1722728 107848 4063216    0    0     0  1777 22014 35295 22  7 70  1  0  0 2026-09-09 20:43:19
