procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 CST
 3  1      0 3652464 102236 2195612    0    0     0  2110 20379 36738 55  9 35  2  0  0 2026-09-09 09:48:58
 4  0      0 3708992 102236 2196968    0    0     0  2908 20064 34844 52  8 39  2  0  0 2026-09-09 09:49:03
 4  0      0 3708872 102236 2198392    0    0     0  1918 19465 34972 57  9 32  1  0  0 2026-09-09 09:49:08
 2  0      0 3698180 102236 2199640    0    0     0  1830 20462 35794 49  8 42  2  0  0 2026-09-09 09:49:13
 2  0      0 3687444 102240 2201072    0    0     0  1788 18946 34277 57  9 32  1  0  0 2026-09-09 09:49:18
 2  0      0 3694852 102240 2202436    0    0     0  1910 20822 36331 49  8 41  1  0  0 2026-09-09 09:49:23
 6  0      0 3678092 102240 2203712    0    0     0  1919 20640 36193 49  8 41  2  0  0 2026-09-09 09:49:28
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 CST
 3  0      0 3701972 102240 2205180    0    0     0  3290 19050 34037 57  9 33  1  0  0 2026-09-09 09:49:33
 2  0      0 3702692 102240 2206556    0    0     0  1908 21083 37008 50  8 41  2  0  0 2026-09-09 09:49:38
 2  0      0 3693480 102240 2207988    0    0     0  7622 19019 34227 56 10 33  1  0  0 2026-09-09 09:49:43
 2  0      0 3681124 102240 2209232    0    0     0  2063 20535 35942 49  8 41  1  0  0 2026-09-09 09:49:48
 2  0      0 3626564 102240 2210692    0    0     0  2608 19137 34610 56  9 34  1  0  0 2026-09-09 09:49:53
 5  0      0 3691340 102240 2211988    0    0     0  2114 20591 35518 49  8 42  1  0  0 2026-09-09 09:49:58
 2  0      0 3684680 102240 2213324    0    0     0  1798 19703 35059 54  8 37  1  0  0 2026-09-09 09:50:03
 2  0      0 3669740 102240 2214896    0    0     0  2092 19334 34933 56  9 33  1  0  0 2026-09-09 09:50:08
 1  0      0 3673696 102240 2216196    0    0     0  1809 20464 35834 50  8 41  2  0  0 2026-09-09 09:50:13
 2  0      0 3687148 102240 2217516    0    0     0  2870 19516 34948 58  9 32  1  0  0 2026-09-09 09:50:18
 5  0      0 3673112 102240 2218776    0    0     0  1983 20762 36221 49  8 42  2  0  0 2026-09-09 09:50:23
 7  0      0 3628984 102240 2220304    0    0     0  1993 19061 34346 57  9 33  1  0  0 2026-09-09 09:50:28
 2  0      0 3678576 102240 2221600    0    0     0  1896 20691 35982 51  8 39  2  0  0 2026-09-09 09:50:33
 3  0      0 3685884 102240 2222980    0    0     0  2906 20974 37003 50  8 40  2  0  0 2026-09-09 09:50:38
 3  0      0 3670984 102240 2224492    0    0     0  7595 18577 33422 58  9 32  1  0  0 2026-09-09 09:50:43
 2  0      0 3660940 102240 2225716    0    0     0  2017 20492 35717 49  8 42  2  0  0 2026-09-09 09:50:48
 2  0      0 3660632 102240 2227164    0    0     0  1797 18078 33405 59 10 30  1  0  0 2026-09-09 09:50:53
 4  0      0 3667740 102240 2228404    0    0     0  2842 20727 35530 47  8 43  2  0  0 2026-09-09 09:50:58
 7  0      0 3595284 102240 2246648    0    0     0  7229 20091 36085 53  9 36  2  0  0 2026-09-09 09:51:03
 2  0      0 3647568 102240 2248112    0    0     0  1930 20061 34816 52  8 39  1  0  0 2026-09-09 09:51:08
 2  0      0 3642608 102240 2249500    0    0     0  2048 20715 36144 49  8 42  2  0  0 2026-09-09 09:51:13
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 CST
 2  0      0 3645328 102240 2250872    0    0     0  3074 19462 35116 57 10 32  1  0  0 2026-09-09 09:51:18
 3  0      0 3645948 102240 2252280    0    0     0  1911 20401 35622 49  8 42  1  0  0 2026-09-09 09:51:23
 2  0      0 3651832 102240 2253644    0    0     0  1946 19104 35138 56  9 33  1  0  0 2026-09-09 09:51:28
