procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 CST
 7  0      0 3533236 103820 2326092    0    0     0  2966 21718 41986 60 10 27  2  0  0 2026-09-09 10:26:16
 1  1      0 3516676 103820 2327428    0    0     0  2277 19867 38070 62 11 26  2  0  0 2026-09-09 10:26:21
 2  0      0 3514928 103820 2328492    0    0     0  3127 21537 37373 49  9 40  2  0  0 2026-09-09 10:26:26
 4  0      0 3508992 103820 2329928    0    0     0  1819 19808 37365 61 11 27  1  0  0 2026-09-09 10:26:31
 4  0      0 3489004 103820 2331304    0    0     0  3606 19583 39610 66 11 22  2  0  0 2026-09-09 10:26:36
 7  0      0 3485988 103820 2332644    0    0     0  2757 21072 39214 57 11 31  2  0  0 2026-09-09 10:26:41
 2  0      0 3504040 103820 2333912    0    0     0  1839 20570 36622 56  9 34  2  0  0 2026-09-09 10:26:46
 5  1      0 3505840 103820 2335252    0    0     0  2670 21627 38238 51  9 38  2  0  0 2026-09-09 10:26:51
 5  1      0 3506560 103820 2336624    0    0     0  3046 19598 40115 66 12 20  2  0  0 2026-09-09 10:26:56
 2  1      0 3517072 103820 2337964    0    0     0  3698 21620 40278 56 10 32  2  0  0 2026-09-09 10:27:01
 2  0      0 3443228 103820 2339344    0    0     0  9986 19607 34763 58 10 31  2  0  0 2026-09-09 10:27:06
 4  0      0 3493488 103820 2340684    0    0     0  3018 21859 38828 51  9 38  2  0  0 2026-09-09 10:27:11
 2  0      0 3504136 103820 2341972    0    0     0  3631 21591 41421 60 11 27  2  0  0 2026-09-09 10:27:16
 2  0      0 3499736 103820 2343300    0    0     0  2991 19594 37715 63 11 25  2  0  0 2026-09-09 10:27:21
 1  0      0 3496348 103820 2344592    0    0     0  2582 21835 37834 50  8 40  2  0  0 2026-09-09 10:27:26
 2  0      0 3498008 103820 2345916    0    0     0  2577 19571 36531 59 10 29  2  0  0 2026-09-09 10:27:31
 8  0      0 3495592 103820 2347244    0    0     0  4541 21546 41816 60 11 27  2  0  0 2026-09-09 10:27:36
 4  0      0 3454452 103820 2348592    0    0     0  3010 20641 38850 58 11 29  2  0  0 2026-09-09 10:27:41
 2  0      0 3499352 103820 2349900    0    0     0  2208 20991 36694 53  9 37  2  0  0 2026-09-09 10:27:46
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 CST
 4  0      0 3476116 103820 2351208    0    0     0  2750 21426 38408 52  9 37  2  0  0 2026-09-09 10:27:51
 2  1      0 3496116 103820 2352544    0    0     0  3866 19514 39541 68 12 19  2  0  0 2026-09-09 10:27:56
 2  0      0 3476080 103820 2353928    0    0     0  3030 22144 41242 55 10 33  2  0  0 2026-09-09 10:28:01
 3  0      0 3451916 103820 2355280    0    0     0  7903 19770 35602 57 10 32  1  0  0 2026-09-09 10:28:06
 4  0      0 3477544 103820 2356584    0    0     0  2498 22258 39244 50  9 39  2  0  0 2026-09-09 10:28:11
 7  0      0 3480424 103820 2357896    0    0     0  3258 21551 41700 60 11 27  3  0  0 2026-09-09 10:28:16
 1  0      0 3481676 103820 2359220    0    0     0  3370 19846 38436 63 11 25  2  0  0 2026-09-09 10:28:21
 1  0      0 3484372 103820 2360528    0    0     0  2122 21940 37774 47  8 43  2  0  0 2026-09-09 10:28:26
 1  0      0 3466224 103820 2361836    0    0     0  2305 19625 36153 58 10 30  2  0  0 2026-09-09 10:28:31
 3  0      0 3468328 103820 2363168    0    0     0  3115 21552 42175 61 10 26  3  0  0 2026-09-09 10:28:36
 6  0      0 3425900 103820 2364592    0    0     0  2709 20610 39279 61 11 26  2  0  0 2026-09-09 10:28:41
 3  0      0 3474696 103820 2365924    0    0     0  3074 21223 36673 51  8 39  2  0  0 2026-09-09 10:28:46
 2  0      0 3477508 103820 2367156    0    0     0  2348 21748 38378 50  8 39  2  0  0 2026-09-09 10:28:51
13  0      0 3442408 103820 2368496    0    0     0  2726 19623 40449 68 12 18  2  0  0 2026-09-09 10:28:56
 1  0      0 3449424 103820 2369892    0    0     0  2278 21267 40480 59 10 29  2  0  0 2026-09-09 10:29:01
 2  0      0 3451720 103820 2371176    0    0     0  7668 19888 36540 59 10 30  2  0  0 2026-09-09 10:29:06
 6  0      0 3474052 103820 2372484    0    0     0  2981 21714 37829 49  8 40  2  0  0 2026-09-09 10:29:11
11  0      0 3422196 103820 2373812    0    0     0  2715 21804 42716 61 11 26  2  0  0 2026-09-09 10:29:16
 2  0      0 3459328 103820 2375132    0    0     0  2426 20592 38940 63 10 26  2  0  0 2026-09-09 10:29:21
 2  0      0 3448016 103820 2376488    0    0     0  2083 22137 38326 48  8 42  2  0  0 2026-09-09 10:29:26
 3  0      0 3468328 103820 2377832    0    0     0  2175 20090 36799 60 10 29  2  0  0 2026-09-09 10:29:31
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 CST
 5  0      0 3437520 103820 2379256    0    0     0  2965 19907 39791 63 11 24  2  0  0 2026-09-09 10:29:36
 4  0      0 3387704 103820 2380728    0    0     0  4024 19935 38615 64 11 23  2  0  0 2026-09-09 10:29:41
 4  1      0 3464524 103820 2382080    0    0     0  2135 21336 36487 48  8 42  2  0  0 2026-09-09 10:29:46
 3  0      0 3455552 103820 2383348    0    0     0  2094 21795 38392 50  9 39  2  0  0 2026-09-09 10:29:51
 7  1      0 3458712 103820 2384648    0    0     0  2890 19250 39480 68 12 19  2  0  0 2026-09-09 10:29:56
 5  0      0 3444628 103820 2385992    0    0     0  2827 21979 41383 56 10 31  2  0  0 2026-09-09 10:30:01
 3  0      0 3449840 103820 2387328    0    0     0  2045 19899 36077 57 10 32  2  0  0 2026-09-09 10:30:06
 4  0      0 3441572 103820 2388712    0    0     0  9279 21307 37348 52  9 37  2  0  0 2026-09-09 10:30:11
 8  0      0 3397980 103820 2390016    0    0     0  2882 20835 41221 64 11 23  2  0  0 2026-09-09 10:30:16
 6  0      0 3436076 103820 2391400    0    0     0  2558 21337 40035 58 10 30  2  0  0 2026-09-09 10:30:21
 3  0      0 3435232 103820 2392704    0    0     0  1963 21989 38244 48  9 41  2  0  0 2026-09-09 10:30:26
 2  0      0 3427316 103820 2394048    0    0     0  2264 20196 37105 59 10 29  2  0  0 2026-09-09 10:30:31
 3  0      0 3440752 103820 2395448    0    0     0  2973 22013 41525 58 10 29  2  0  0 2026-09-09 10:30:36
 2  0      0 3426404 103820 2396760    0    0     0  4158 19859 40213 65 11 22  2  0  0 2026-09-09 10:30:41
 3  0      0 3440060 103820 2398088    0    0     0  2001 21578 36840 48  8 42  2  0  0 2026-09-09 10:30:46
 5  0      0 3426772 103820 2399428    0    0     0  2086 21407 37947 49  9 40  2  0  0 2026-09-09 10:30:51
 3  0      0 3426652 103820 2400760    0    0     0  2743 19531 39696 67 11 21  2  0  0 2026-09-09 10:30:56
 7  0      0 3431604 103820 2402100    0    0     0  2853 21845 40726 56 10 32  2  0  0 2026-09-09 10:31:01
 1  0      0 3432104 103824 2403444    0    0     0  1982 20501 37126 56 10 33  2  0  0 2026-09-09 10:31:06
 2  0      0 3438956 103824 2404784    0    0     0  9303 20848 36378 51  9 39  2  0  0 2026-09-09 10:31:11
11  0      0 3382180 103824 2406020    0    0     0  2786 20328 40115 65 11 22  2  0  0 2026-09-09 10:31:16
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 CST
 4  0      0 3433284 103824 2407436    0    0     0  2688 21362 40537 59 10 29  2  0  0 2026-09-09 10:31:21
 2  0      0 3414864 103824 2408960    0    0     0  2156 21823 37336 47  8 43  2  0  0 2026-09-09 10:31:26
 3  0      0 3420440 103824 2410196    0    0     0  2855 19959 36036 57 10 32  2  0  0 2026-09-09 10:31:31
 2  0      0 3429212 103824 2411632    0    0     0  2585 19878 39631 64 10 23  2  0  0 2026-09-09 10:31:36
 2  0      0 3425780 103824 2412892    0    0     0  2326 19845 39296 64 11 23  2  0  0 2026-09-09 10:31:41
 2  0      0 3431024 103824 2414200    0    0     0  1896 22053 37577 48  8 42  2  0  0 2026-09-09 10:31:46
 6  1      0 3382376 103824 2415608    0    0     0  1861 21342 38291 51  9 38  2  0  0 2026-09-09 10:31:51
 3  1      0 3424536 103824 2417020    0    0     0  3955 20263 40420 66 11 21  2  0  0 2026-09-09 10:31:56
 2  0      0 3418588 103824 2418300    0    0     0  3710 21887 40529 57 10 31  2  0  0 2026-09-09 10:32:01
 2  0      0 3419736 103824 2419680    0    0     0  2980 20843 38010 58 10 31  2  0  0 2026-09-09 10:32:06
 3  0      0 3421948 103824 2421036    0    0     0  8541 21148 36476 50  8 40  2  0  0 2026-09-09 10:32:11
 6  0      0 3359192 103824 2422356    0    0     0  4182 20286 41275 67 12 20  2  0  0 2026-09-09 10:32:16
 2  0      0 3422944 103824 2423708    0    0     0  3379 21306 40706 58 10 30  2  0  0 2026-09-09 10:32:21
 2  0      0 3404752 103824 2425016    0    0     0  2407 21426 36763 47  8 43  2  0  0 2026-09-09 10:32:26
 2  0      0 3394236 103824 2426324    0    0     0  2536 19910 36980 59 10 30  2  0  0 2026-09-09 10:32:31
 7  0      0 3398608 103824 2427656    0    0     0  6674 21222 40998 60 10 27  3  0  0 2026-09-09 10:32:36
 2  0      0 3382932 103824 2428952    0    0     0  2698 20155 40050 65 11 22  2  0  0 2026-09-09 10:32:41
 1  0      0 3405508 103824 2430244    0    0     0  2183 21683 37080 48  8 42  2  0  0 2026-09-09 10:32:46
 8  0      0 3365280 103824 2431560    0    0     0  2275 20964 37328 50 10 38  2  0  0 2026-09-09 10:32:51
 2  0      0 3384428 103824 2432892    0    0     0  5474 20522 40647 65 11 22  2  0  0 2026-09-09 10:32:56
 2  0      0 3403116 103824 2434188    0    0     0  2837 21881 40548 56 10 31  3  0  0 2026-09-09 10:33:01
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 CST
 3  0      0 3380696 103824 2435480    0    0     0  2276 20245 37184 59 10 29  2  0  0 2026-09-09 10:33:06
 2  0      0 3401472 103824 2436820    0    0     0  7835 21273 36812 49  8 40  2  0  0 2026-09-09 10:33:11
 5  0      0 3329720 103824 2438104    0    0     0  3548 20100 40150 66 12 21  2  0  0 2026-09-09 10:33:16
 2  0      0 3399820 103824 2439416    0    0     0  2614 21488 40999 59 10 29  2  0  0 2026-09-09 10:33:21
 3  0      0 3404120 103824 2440716    0    0     0  2195 21759 37152 48  8 42  2  0  0 2026-09-09 10:33:26
 3  0      0 3398108 103824 2441992    0    0     0  2181 20335 37119 57 10 32  2  0  0 2026-09-09 10:33:31
