procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 CST
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 CST
 1  0      0 2637880 107788 3159580    0    0     0  2211 22258 39273 42  8 48  2  0  0 2026-09-09 19:55:58
 5  1      0 2653636 107788 3160904    0    0     0  3600 21036 42203 60 12 26  2  0  0 2026-09-09 19:56:03
 4  0      0 2640216 107788 3162260    0    0     0  2694 23054 42213 48  9 40  2  0  0 2026-09-09 19:56:08
 3  0      0 2650544 107788 3163652    0    0     0  2066 20930 38327 49 10 40  1  0  0 2026-09-09 19:56:13
 4  0      0 2648580 107788 3165032    0    0     0  2420 22676 39953 42  8 48  2  0  0 2026-09-09 19:56:18
12  0      0 2601752 107788 3166332    0    0     0  3830 23876 45126 51 11 35  3  0  0 2026-09-09 19:56:23
 2  1      0 2624032 107788 3167720    0    0     0  2492 21065 41115 58 11 29  2  0  0 2026-09-09 19:56:28
 1  0      0 2628700 107788 3169016    0    0     0  2292 22383 39126 40  8 50  2  0  0 2026-09-09 19:56:33
 2  1      0 2622064 107788 3170348    0    0     0  2134 21276 39231 50 10 38  2  0  0 2026-09-09 19:56:38
 3  1      0 2644884 107788 3171660    0    0     0  2991 23501 44099 52 10 36  3  0  0 2026-09-09 19:56:43
 8  0      0 2554164 107788 3173128    0    0     0  9271 21288 40730 57 11 29  2  0  0 2026-09-09 19:56:48
 1  0      0 2640980 107788 3174436    0    0     0  2266 22586 39756 41  8 49  2  0  0 2026-09-09 19:56:53
 8  0      0 2649212 107788 3175800    0    0     0  2121 22426 39662 41  8 49  2  0  0 2026-09-09 19:56:58
 6  1      0 2640796 107788 3177156    0    0     0  2923 21614 42832 59 12 26  2  0  0 2026-09-09 19:57:03
 3  0      0 2643764 107788 3178504    0    0     0  3704 23468 42939 48 10 40  2  0  0 2026-09-09 19:57:08
 6  0      0 2634348 107788 3179868    0    0     0  1917 21009 38345 48  9 41  1  0  0 2026-09-09 19:57:13
 2  0      0 2642940 107788 3181196    0    0     0  2188 22714 39558 40  7 50  2  0  0 2026-09-09 19:57:18
12  0      0 2591692 107788 3182472    0    0     0  2994 22522 43040 57 11 29  3  0  0 2026-09-09 19:57:23
