Tue Sep  8 04:55:28 PM UTC 2026
flash-cloud-bench-publisher-1 3.74% 34.9MiB / 7.38GiB 10.3MB / 15MB
flash-cloud-bench-simulator-1 3.01% 35.61MiB / 7.38GiB 12.1MB / 15.3MB
flash-cloud-bench-maintenance-1 21.67% 34.8MiB / 7.38GiB 199MB / 679MB
flash-cloud-bench-pgbouncer-1 8.26% 2.902MiB / 7.38GiB 342MB / 341MB
flash-cloud-bench-postgres-1 98.17% 161.2MiB / 7.38GiB 118MB / 231MB
flash-cloud-bench-kafka-1 3.62% 709.4MiB / 7.38GiB 8.21MB / 6.95MB
flash-cloud-bench-prometheus-1 0.02% 91.73MiB / 7.38GiB 2.41MB / 363kB
Tue Sep  8 04:58:28 PM UTC 2026
flash-cloud-bench-api-1 77.17% 97.43MiB / 7.38GiB 1.18GB / 781MB
flash-cloud-bench-redis-1 10.02% 64.24MiB / 7.38GiB 749MB / 1.13GB
flash-cloud-bench-consumer-1 7.11% 34.8MiB / 7.38GiB 12.9MB / 19.1MB
flash-cloud-bench-publisher-1 4.64% 34.91MiB / 7.38GiB 10.7MB / 15.6MB
flash-cloud-bench-simulator-1 3.12% 35.61MiB / 7.38GiB 12.5MB / 15.7MB
flash-cloud-bench-maintenance-1 3.95% 34.8MiB / 7.38GiB 205MB / 701MB
flash-cloud-bench-pgbouncer-1 5.09% 2.887MiB / 7.38GiB 353MB / 352MB
flash-cloud-bench-postgres-1 108.71% 162MiB / 7.38GiB 122MB / 239MB
flash-cloud-bench-kafka-1 10.44% 729.1MiB / 7.38GiB 8.62MB / 7.3MB
flash-cloud-bench-prometheus-1 0.14% 91.73MiB / 7.38GiB 2.52MB / 377kB
Tue Sep  8 04:58:40 PM UTC 2026
flash-cloud-bench-api-1 80.39% 97.95MiB / 7.38GiB 1.25GB / 827MB
flash-cloud-bench-redis-1 54.69% 64.33MiB / 7.38GiB 777MB / 1.2GB
flash-cloud-bench-consumer-1 4.84% 34.81MiB / 7.38GiB 13.5MB / 20MB
flash-cloud-bench-publisher-1 4.25% 34.91MiB / 7.38GiB 11.2MB / 16.3MB
flash-cloud-bench-simulator-1 2.91% 35.61MiB / 7.38GiB 12.8MB / 16.2MB
flash-cloud-bench-maintenance-1 22.14% 34.8MiB / 7.38GiB 213MB / 726MB
flash-cloud-bench-pgbouncer-1 8.44% 2.918MiB / 7.38GiB 366MB / 365MB
flash-cloud-bench-postgres-1 60.28% 162.6MiB / 7.38GiB 126MB / 247MB
flash-cloud-bench-kafka-1 2.23% 747.1MiB / 7.38GiB 9.02MB / 7.64MB
flash-cloud-bench-prometheus-1 0.02% 91.73MiB / 7.38GiB 2.58MB / 386kB
Tue Sep  8 04:58:52 PM UTC 2026
flash-cloud-bench-api-1 91.46% 98.35MiB / 7.38GiB 1.32GB / 871MB
flash-cloud-bench-redis-1 9.89% 64.24MiB / 7.38GiB 802MB / 1.27GB
